%CraneId;ContainerId;PickupTime;EndTime;PickupPosX;PickupPosY;EndPosX;EndPosY
1;87;0;10;10;5;0;0
1;79;10;44;0;0;0;0
0;159;44;52;1;5;3;0
1;76;52;80;0;0;10;0
1;151;80;84;10;0;13;0
1;154;84;92;13;0;3;3
1;;92;1;3;3;4;3
0;114;92;98;3;0;4;4
1;;98;6;4;3;10;3
0;152;98;104;4;4;10;5
0;107;104;110;10;5;2;6
1;140;110;112;10;3;12;6
0;;112;13;2;6;15;6
1;156;112;136;12;6;15;0
0;132;136;158;15;6;5;7
1;157;158;174;15;0;16;8
1;133;174;180;16;8;6;0
1;129;180;196;6;0;5;0
1;142;196;216;5;0;15;0
0;158;216;218;5;7;7;1
0;100;218;230;7;1;0;1
1;155;230;244;15;0;12;1
0;136;244;258;0;1;1;9
1;;258;0;12;1;12;1
0;149;258;274;1;9;12;1
0;158;274;284;12;1;6;6
0;120;284;288;6;6;6;6
1;60;288;298;12;1;5;9
1;147;298;320;5;9;5;9
